rID,flood,coords_x,coords_y,aspect,dem,land,plan,pre,riverdis,roaddis,slope,soil,twi,Target_Ris
165,1,288905,3800730,-1,1695,5,9,377,553,2189,0,2,4,5
166,1,291727,3818110,261,1753,5,-7,365,0,751,1,9,10,5
167,1,288268,3815750,174,1717,5,-3,368,553,531,2,9,7,5
168,1,276434,3807010,-1,1661,10,1,379,553,7894,0,2,15,3
169,1,252858,3817750,-1,1632,10,8,384,0,1502,0,8,10,5
170,1,268879,3796630,-1,1669,5,0,391,782,1679,0,8,4,5
171,1,275888,3813470,153,1683,5,0,375,2768,3004,1,2,7,5
172,1,209073,3814660,64,1832,9,0,410,4951,531,31,9,11,1
173,1,238020,3825940,308,1736,4,0,388,1107,2189,15,2,12,3
174,1,239386,3821760,246,1572,3,-3,389,782,1062,1,12,0,5
175,1,252585,3828130,233,1732,3,0,378,5013,4281,6,12,4,3
176,1,254405,3829770,259,2022,9,0,376,2981,2859,16,8,4,2
177,1,241570,3830860,312,2134,4,0,383,3501,5937,14,2,15,1
178,1,265420,3816750,122,2218,6,0,378,1107,6800,25,8,5,1
179,1,275160,3805830,153,1661,5,6,381,553,7841,1,2,4,4
180,1,228189,3801370,59,1462,10,4,406,782,7510,1,12,5,4
181,1,277708,3776240,196,1914,10,0,404,1107,2374,4,2,11,4
182,1,265511,3776150,180,1736,10,-2,408,0,0,0,2,0,5
183,1,259958,3779150,45,1648,10,4,407,0,2124,1,8,5,5
184,1,270335,3782160,197,2350,6,0,402,0,7085,15,2,0,2
185,1,283170,3826030,225,2041,3,-7,364,553,10311,3,9,6,2
186,1,280985,3822480,180,1901,5,7,367,0,6759,5,6,16,2
187,1,281805,3813290,149,1690,5,0,372,2475,531,1,2,10,5
188,1,279711,3810380,-1,1672,5,1,375,2768,3562,0,2,6,5
189,1,280530,3802460,-1,1669,3,0,380,1107,3400,0,12,10,5
190,1,271974,3798630,0,1656,5,0,388,2768,3004,0,2,11,5
191,1,261596,3805190,102,1673,3,0,388,553,12667,6,6,8,3
192,1,256317,3804100,130,2094,6,0,391,782,10145,28,2,11,1
193,1,247123,3787170,-1,1554,10,0,405,782,1062,0,7,10,5
194,1,255771,3790350,215,1608,10,-5,400,782,0,2,10,4,5
195,1,259412,3797450,337,2211,8,0,394,1107,7377,13,8,14,1
196,1,270426,3809470,71,1806,10,0,380,2768,9289,3,2,6,3
197,1,251947,3804280,260,2245,11,-5,393,3321,7377,30,8,11,1
198,1,249035,3794540,90,1528,10,0,400,0,751,0,12,3,5
199,1,242572,3794900,-1,1495,10,1,403,0,3562,0,12,11,5
